Code commune;Commune;Habitants
261;Zürich;396955
6621;Genève;198072
2701;Basel;169916
5586;Lausanne;135629
351;Bern;131554
230;Winterthur;108268
1061;Luzern;81295
3203;St. Gallen;75538
5192;Lugano;63583
371;Biel/Bienne;54163
942;Thun;43500
355;Köniz;40214
6421;La Chaux-de-Fonds;38957
2196;Fribourg;38489
2939;Schaffhausen;35948
6643;Vernier;34655
3901;Chur;34652
198;Uster;33886
6458;Neuchêtel;33712
6266;Sion;33532
6628;Lancy;31359
1024;Emmen;29723
5938;Yverdon-les-Bains;29700
1711;Zug;29256
1059;Kriens;27046
3340;Rapperswil-Jona;26875
191;Dübendorf;26844
243;Dietikon;26711
5886;Montreux;26433
4566;Frauenfeld;24864
121;Wetzikon (ZH);24407
3427;Wil (SG);23667
1701;Baar;23561
6630;Meyrin;22152
2125;Bulle;21991
142;Wädenswil;21621
4671;Kreuzlingen;21542
6608;Carouge (GE);21342
2703;Riehen;20743
4001;Aarau;20710
5591;Renens (VD);20537
2762;Allschwil;20464
4045;Wettingen;20298
133;Horgen;20207
5724;Nyon;20088
5890;Vevey;19453
53;Bülach;19393
4021;Baden;19012
2773;Reinach (BL);18855
6631;Onex;18635
66;Opfikon;18617
131;Adliswil;18605
199;Volketswil;18536
247;Schlieren;18453
62;Kloten;18452
5002;Bellinzona;18308
96;Regensdorf;18036
3443;Gossau (SG);18005
2581;Olten;17833
5590;Pully;17807
1630;Glarus Nord;17797
141;Thalwil;17747
6136;Martigny;17651
2770;Muttenz;17610
6153;Monthey;17512
363;Ostermundigen;16788
2546;Grenchen;16741
296;Illnau-Effretikon;16734
2601;Solothurn;16721
6248;Sierre;16711
6487;Val-de-Ruz;16586
404;Burgdorf;16228
1322;Freienbach;16037
5113;Locarno;15968
1702;Cham;15954
2831;Pratteln;15898
3001;Herisau;15721
939;Steffisburg;15689
5642;Morges;15676
69;Wallisellen;15662
4082;Wohlen (AG);15600
329;Langenthal;15447
2765;Binningen;15121
1301;Einsiedeln;15077
5254;Mendrisio;14938
1372;Schwyz;14856
306;Lyss;14341
4401;Arbon;14266
158;Stäfa;14178
2829;Liestal;14079
6640;Thônex;13955
154;Küsnacht (ZH);13830
1058;Horw;13788
156;Meilen;13531
6644;Versoix;13263
4280;Oftringen;13251
138;Richterswil;13198
4461;Amriswil;13113
1054;Ebikon;13106
4258;Rheinfelden;13105
6002;Brig-Glis;13088
356;Muri bei Bern;12984
3408;Uzwil;12781
161;Zollikon;12753
5721;Gland;12727
6711;Delémont;12593
1632;Glarus;12570
768;Spiez;12477
1331;Küssnacht (SZ);12423
3271;Buchs (SG);12414
5635;Ecublens (VD);12284
2228;Villars-sur-Glêne;12142
6623;Le Grand-Saconnex;12107
118;Rüti (ZH);12047
5589;Prilly;11968
2769;Münchenstein;11901
616;Münsingen;11813
2;Affoltern am Albis;11708
1362;Arth;11597
52;Bassersdorf;11580
861;Belp;11548
4289;Zofingen;11487
177;Pfäffikon;11454
627;Worb;11449
5889;La Tour-de-Peilz;11421
362;Ittigen;11390
3251;Altstätten;11358
6645;Veyrier;11273
4040;Spreitenbach;11253
6612;Chêne-Bougeries;11222
4095;Brugg;11200
4946;Weinfelden;11187
3851;Davos;11109
2771;Oberwil (BL);11105
6512;Val-de-Travers;10905
4254;Möhlin;10853
117;Hinwil;10848
4436;Romanshorn;10753
155;Männedorf;10593
6436;Le Locle;10444
3402;Flawil;10368
2766;Birsfelden;10356
6633;Plan-les-Ouates;10344
2937;Neuhausen am Rheinfall;10316
1707;Risch;10272
1407;Sarnen;10229
361;Zollikofen;10217
2761;Aesch (BL);10173
2775;Therwil;10007
546;Münchenbuchsee;9947
5401;Aigle;9942
6607;Bernex;9932
4012;Suhr;9904
195;Maur;9890
6007;Naters;9808
115;Gossau (ZH);9758
5606;Lutry;9747
1031;Hochdorf;9725
250;Urdorf;9688
1631;Glarus Süd;9661
3204;Wittenbach;9652
1708;Steinhausen;9543
1103;Sursee;9490
5822;Payerne;9460
120;Wald (ZH);9447
3238;Widnau;9329
2763;Arlesheim;9223
3215;Rorschach;9214
1201;Altdorf (UR);9203
5584;Epalinges;9202
4201;Lenzburg;9162
902;Langnau im Emmental;9154
56;Embrach;9139
3342;Eschenbach (SG);9123
3213;Goldach;9110
90;Niederhasli;9100
6416;Milvignes;9069
1346;Schübelbach;9016
360;Wohlen bei Bern;8987
3392;Kirchberg (SG);8874
1703;Hünenberg;8848
3955;Landquart;8822
4034;Neuenhof;8819
4551;Aadorf;8794
2534;Zuchwil;8744
3254;Oberriet (SG);8719
1364;Ingenbohl;8695
4282;Rothrist;8684
6152;Collombey-Muraz;8638
5005;Giubiasco;8627
3293;Mels;8620
4038;Obersiggenthal;8590
1709;Unterägeri;8583
3379;Wattwil;8581
6133;Fully;8524
153;Hombrechtikon;8485
6023;Conthey;8485
1344;Lachen;8480
6613;Chêne-Bourg;8472
192;Egg;8388
3442;Gaiserwald;8378
193;Fällanden;8356
1509;Stans;8277
2513;Biberist;8223
5624;Bussigny;8214
4141;Reinach (AG);8182
5250;Chiasso;8174
2275;Murten;8120
135;Kilchberg (ZH);8098
2206;Marly;8083
6031;Bagnes;8057
6616;Collonge-Bellerive;7998
3722;Domat/Ems;7880
2293;Düdingen;7794
4063;Bremgarten (AG);7775
97;Rümlang;7774
4003;Buchs (AG);7731
5583;Crissier;7730
200;Wangen-Brüttisellen;7727
4271;Aarburg;7723
4010;Oberentfelden;7714
1151;Willisau;7676
4761;Sirnach;7675
6297;Visp;7665
54;Dietlikon;7625
700;Moutier;7615
4236;Muri (AG);7591
136;Langnau am Albis;7452
4006;Gränichen;7432
5409;Ollon;7426
113;Dürnten;7421
5627;Chavannes-près-Renens;7386
6265;Savièse;7381
3231;Au (SG);7378
5402;Bex;7364
4123;Windisch;7361
1040;Rothenburg;7337
5587;Le Mont-sur-Lausanne;7282
5118;Minusio;7244
3216;Rorschacherberg;7214
227;Seuzach;7211
4044;Untersiggenthal;7161
2236;Gibloux;7139
1323;Wollerau;7048
4080;Villmergen;7021
112;Bubikon;7019
979;Herzogenbuchsee;6994
1062;Malters;6988
1140;Reiden;6976
743;Nidau;6955
3273;Grabs;6929
6729;Haute-Sorne;6886
843;Saanen;6871
