"","Commune","RC2","RC1","RC3","Code.commune","Habitants","langue","Colour"
"1","Aadorf",0.569900814921611,0.191625680309747,0.859973022500884,4551,8794,"ALL","#5DE100"
"2","Aarau",1.15007291419619,0.719102510378736,0.414755031281602,4001,20710,"ALL","#5DE100"
"3","Aarberg",0.612402919822538,1.14928686773391,1.01134071387902,301,4529,"ALL","#5DE100"
"4","Aarburg",1.18251244462729,-0.0631467456826897,-0.198469210433795,4271,7723,"ALL","#5DE100"
"5","Aarwangen",0.78630819747806,-0.190493234293246,0.18551730494929,321,4408,"ALL","#5DE100"
"6","Abtwil",-0.840162744954788,-1.87220631053617,1.05376151017294,4221,970,"ALL","#5DE100"
"7","Aclens",-1.46682458380443,1.37698225315106,0.0544706391209055,5621,525,"FRA","#FF3D00"
"8","Acquarossa",0.768215320642149,-0.372169825438002,-1.54000045430549,5048,1856,"ITA","#FFBC00"
"9","Adelboden",-0.512027985254541,-1.5567238428206,1.68318140952905,561,3437,"ALL","#5DE100"
"10","Adligenswil",1.37646164075699,1.33368595940075,-0.0217486168464736,1051,5348,"ALL","#5DE100"
"11","Adlikon",-0.437202986414038,-0.264495796947399,1.98714939249846,21,662,"ALL","#5DE100"
"12","Adliswil",1.23113861292961,1.19220191096518,0.199190566649561,131,18605,"ALL","#5DE100"
"13","Aedermannsdorf",-0.593193259989142,-1.7949471235963,0.388389983121961,2421,549,"ALL","#5DE100"
"14","Aefligen",0.431552481072347,-1.10415904861244,-0.0272348376000585,401,1067,"ALL","#5DE100"
"15","Aegerten",0.811479780353975,0.226200278559343,-0.123784596905558,731,1874,"ALL","#5DE100"
"16","Aesch (BL)",1.19097774285233,1.15888633385759,-0.193213191267096,2761,10173,"ALL","#5DE100"
"17","Aesch (LU)",-0.486994158104335,-0.392526034563979,1.43633874258834,1021,1088,"ALL","#5DE100"
"18","Aesch (ZH)",0.701160694144359,1.59211481006971,1.30086011343253,241,1197,"ALL","#5DE100"
"19","Aeschi (SO)",0.613441729398979,-0.525462747828211,-0.0866513615672369,2511,1216,"ALL","#5DE100"
"20","Aeschi bei Spiez",0.599759804339815,0.163043939055403,1.30624700571356,562,2217,"ALL","#5DE100"
"21","Aeugst am Albis",1.26476430375015,1.32694171105244,0.440493580121334,1,1981,"ALL","#5DE100"
"22","Affeltrangen",-0.304344223980563,-0.937680778172586,1.22245803539759,4711,2495,"ALL","#5DE100"
"23","Affoltern am Albis",1.16399216388117,0.614634230333128,0.146325707856943,2,11708,"ALL","#5DE100"
"24","Affoltern im Emmental",0.0478499583786733,-0.718085013583208,1.27022610755816,951,1159,"ALL","#5DE100"
"25","Agarn",-0.649551546854952,-1.77910320119285,-1.19101727302793,6101,780,"ALL","#5DE100"
